customer_id,ltv,churn_probability,customer_segment,retention_priority_score,retention_priority,recommended_action
3090-HAWSU,6807.599999999999,0.0,VIP Customer,31.85,Medium,Monitor and engage
1442-OKRJE,6807.900000000001,0.0,VIP Customer,31.85,Medium,Monitor and engage
3086-RUCRN,6804.599999999999,0.0,VIP Customer,31.83,Medium,Monitor and engage
2190-PHBHR,6800.400000000001,0.0,VIP Customer,31.81,Medium,Monitor and engage
0020-INWCK,6798.25,0.0,VIP Customer,31.8,Medium,Monitor and engage
0516-UXRMT,5707.099999999999,0.085,High Value Customer,31.8,Medium,Monitor and engage
1696-HXOWK,6791.150000000001,0.0,VIP Customer,31.77,Medium,Monitor and engage
4024-CSNBY,6786.0,0.0,VIP Customer,31.75,Medium,Monitor and engage
2378-VTKDH,6782.75,0.0,VIP Customer,31.73,Medium,Monitor and engage
5207-PLSTK,48.75,0.525,Monitor,31.73,Medium,Monitor and engage
1536-HBSWP,49.9,0.525,Monitor,31.73,Medium,Monitor and engage
6616-AALSR,6779.5,0.0,VIP Customer,31.72,Medium,Monitor and engage
4751-ERMAN,5428.8,0.105,High Value Customer,31.7,Medium,Monitor and engage
2360-RDGRO,6776.25,0.0,VIP Customer,31.7,Medium,Monitor and engage
2778-OCLGR,938.4,0.455,Monitor,31.69,Medium,Monitor and engage
4919-IKATY,422.5,0.495,Monitor,31.68,Medium,Monitor and engage
5473-KHBPS,4976.400000000001,0.14,High Value Customer,31.68,Medium,Monitor and engage
2886-KEFUM,6772.5,0.0,VIP Customer,31.68,Medium,Monitor and engage
9938-TKDGL,6769.4,0.0,VIP Customer,31.67,Medium,Monitor and engage
0960-HUWBM,6766.5,0.0,VIP Customer,31.66,Medium,Monitor and engage
9369-XFEHK,2659.8,0.32,Low Priority,31.64,Medium,Monitor and engage
2722-VOJQL,6761.6,0.0,VIP Customer,31.63,Medium,Monitor and engage
6097-EQISJ,6761.7,0.0,VIP Customer,31.63,Medium,Monitor and engage
8402-EIVQS,6760.3,0.0,VIP Customer,31.63,Medium,Monitor and engage
0201-MIBOL,6758.400000000001,0.0,VIP Customer,31.62,Medium,Monitor and engage
5149-QYTTU,6755.650000000001,0.0,VIP Customer,31.61,Medium,Monitor and engage
8646-JCOMS,5976.3,0.06,High Value Customer,31.56,Medium,Monitor and engage
8984-EYLLL,6736.0,0.0,VIP Customer,31.51,Medium,Monitor and engage
9638-JIQYA,49.8,0.52,Monitor,31.43,Medium,Monitor and engage
8197-BFWVU,6714.0,0.0,VIP Customer,31.41,Medium,Monitor and engage
3967-KXAPS,6645.599999999999,0.005,VIP Customer,31.39,Medium,Monitor and engage
4832-VRBMR,6704.75,0.0,VIP Customer,31.37,Medium,Monitor and engage
3649-JPUGY,6379.2,0.025,VIP Customer,31.34,Medium,Monitor and engage
6705-LXORM,350.25,0.495,Monitor,31.34,Medium,Monitor and engage
5074-FBGHB,6697.6,0.0,VIP Customer,31.33,Medium,Monitor and engage
4208-UFFGW,89.9,0.515,Monitor,31.32,Medium,Monitor and engage
2990-IAJSV,6624.0,0.005,VIP Customer,31.29,Medium,Monitor and engage
9812-GHVRI,3354.0,0.26,High Value Customer,31.29,Medium,Monitor and engage
2324-EFHVG,6681.6,0.0,VIP Customer,31.26,Medium,Monitor and engage
7940-UQQUG,6681.6,0.0,VIP Customer,31.26,Medium,Monitor and engage
6711-VTNRE,3151.8,0.275,High Value Customer,31.25,Medium,Monitor and engage
0244-LGNFY,6670.8,0.0,VIP Customer,31.21,Medium,Monitor and engage
4683-WYDOU,6671.2,0.0,VIP Customer,31.21,Medium,Monitor and engage
5329-KRDTM,5569.2,0.085,High Value Customer,31.15,Medium,Monitor and engage
2167-FQSTQ,6652.8,0.0,VIP Customer,31.12,Medium,Monitor and engage
2530-ENDWQ,6652.7,0.0,VIP Customer,31.12,Medium,Monitor and engage
1013-QCWAM,6652.8,0.0,VIP Customer,31.12,Medium,Monitor and engage
7080-TNUWP,6650.0,0.0,VIP Customer,31.11,Medium,Monitor and engage
2955-PSXOE,20.2,0.5167,Monitor,31.1,Medium,Monitor and engage
4191-XOVOM,6640.200000000001,0.0,VIP Customer,31.07,Medium,Monitor and engage
8174-TBVCF,6636.0,0.0,VIP Customer,31.05,Medium,Monitor and engage
6481-ESCNL,2915.95,0.29,Low Priority,31.04,Medium,Monitor and engage
9778-OGKQZ,6624.0,0.0,VIP Customer,30.99,Medium,Monitor and engage
7426-GSWPO,6624.0,0.0,VIP Customer,30.99,Medium,Monitor and engage
3084-DOWLE,6624.0,0.0,VIP Customer,30.99,Medium,Monitor and engage
2988-PLAHS,209.85,0.5,Monitor,30.98,Medium,Monitor and engage
4718-WXBGI,6620.400000000001,0.0,VIP Customer,30.97,Medium,Monitor and engage
3144-KMTWZ,6620.75,0.0,VIP Customer,30.97,Medium,Monitor and engage
2190-BCXEC,3154.0,0.27,High Value Customer,30.96,Medium,Monitor and engage
3779-OSWCF,6617.2,0.0,VIP Customer,30.96,Medium,Monitor and engage
6265-SXWBU,6606.75,0.0,VIP Customer,30.91,Medium,Monitor and engage
6284-AHOOQ,1991.0,0.36,Low Priority,30.91,Medium,Monitor and engage
2632-UCGVD,6603.3,0.0,VIP Customer,30.89,Medium,Monitor and engage
3552-CTCYF,6602.4,0.0,VIP Customer,30.89,Medium,Monitor and engage
4690-LLKUA,765.8499999999999,0.455,Monitor,30.88,Medium,Monitor and engage
8905-IAZPF,6599.85,0.0,VIP Customer,30.88,Medium,Monitor and engage
1658-TJVOA,444.6,0.48,Monitor,30.88,Medium,Monitor and engage
7868-TMWMZ,6600.0,0.0,VIP Customer,30.88,Medium,Monitor and engage
5193-QLVZB,6599.25,0.0,VIP Customer,30.87,Medium,Monitor and engage
6242-SGYTS,5886.900000000001,0.055,High Value Customer,30.84,Medium,Monitor and engage
0565-JUPYD,6583.5,0.0,VIP Customer,30.8,Medium,Monitor and engage
8755-IWJHN,6579.15,0.0,VIP Customer,30.78,Medium,Monitor and engage
9297-EONCV,6577.2,0.0,VIP Customer,30.77,Medium,Monitor and engage
1017-FBQMM,6575.099999999999,0.0,VIP Customer,30.76,Medium,Monitor and engage
1698-XFZCI,6572.75,0.0,VIP Customer,30.75,Medium,Monitor and engage
2225-ZRGSG,6573.0,0.0,VIP Customer,30.75,Medium,Monitor and engage
6168-YBYNP,6569.65,0.0,VIP Customer,30.74,Medium,Monitor and engage
6244-BESBM,6568.8,0.0,VIP Customer,30.73,Medium,Monitor and engage
1265-XTECC,6565.4,0.0,VIP Customer,30.72,Medium,Monitor and engage
2003-CKLOR,6567.0,0.0,VIP Customer,30.72,Medium,Monitor and engage
1227-UDMZR,6562.8,0.0,VIP Customer,30.7,Medium,Monitor and engage
1347-KTTTA,6556.8,0.0,VIP Customer,30.68,Medium,Monitor and engage
0682-USIXD,1807.05,0.37,Low Priority,30.65,Medium,Monitor and engage
1971-DTCZB,6548.400000000001,0.0,VIP Customer,30.64,Medium,Monitor and engage
3569-JFODW,6548.400000000001,0.0,VIP Customer,30.64,Medium,Monitor and engage
5339-TJFEK,6541.0,0.0,VIP Customer,30.6,Medium,Monitor and engage
5727-MYATE,6537.599999999999,0.0,VIP Customer,30.59,Medium,Monitor and engage
5214-NLTIT,6537.599999999999,0.0,VIP Customer,30.59,Medium,Monitor and engage
8979-CAMGB,6534.4,0.0,VIP Customer,30.57,Medium,Monitor and engage
9076-AXYIK,6534.4,0.0,VIP Customer,30.57,Medium,Monitor and engage
8752-GHJFU,6532.0,0.0,VIP Customer,30.56,Medium,Monitor and engage
3334-CTHOL,49.95,0.505,Monitor,30.53,Medium,Monitor and engage
1951-IEYXM,6523.2,0.0,VIP Customer,30.52,Medium,Monitor and engage
4989-LIXVT,6521.200000000001,0.0,VIP Customer,30.51,Medium,Monitor and engage
3301-VKTGC,5814.0,0.055,High Value Customer,30.5,Medium,Monitor and engage
1343-EHPYB,6514.200000000001,0.0,VIP Customer,30.48,Medium,Monitor and engage
9548-ZMVTX,6512.400000000001,0.0,VIP Customer,30.47,Medium,Monitor and engage
4837-QUSFT,6509.75,0.0,VIP Customer,30.45,Medium,Monitor and engage
5684-FJVYR,6505.2,0.0,VIP Customer,30.43,Medium,Monitor and engage
3587-PMCOY,989.0,0.43,Monitor,30.43,Medium,Monitor and engage
6804-GDMOI,6502.599999999999,0.0,VIP Customer,30.42,Medium,Monitor and engage
1956-YIFGE,2201.1,0.335,Low Priority,30.4,Medium,Monitor and engage
5248-YGIJN,6498.0,0.0,VIP Customer,30.4,Medium,Monitor and engage
2408-TZMJL,6498.85,0.0,VIP Customer,30.4,Medium,Monitor and engage
8535-SFUTN,6493.45,0.0,VIP Customer,30.38,Medium,Monitor and engage
5248-RPYWW,6490.8,0.0,VIP Customer,30.37,Medium,Monitor and engage
4220-TINQT,6487.349999999999,0.0,VIP Customer,30.35,Medium,Monitor and engage
2294-DMMUS,4367.900000000001,0.165,High Value Customer,30.33,Medium,Monitor and engage
7579-KKLOE,6478.75,0.0,VIP Customer,30.31,Medium,Monitor and engage
1548-FEHVL,6478.2,0.0,VIP Customer,30.31,Medium,Monitor and engage
1775-KWJKQ,6469.2,0.0,VIP Customer,30.27,Medium,Monitor and engage
7503-MIOGA,6469.2,0.0,VIP Customer,30.27,Medium,Monitor and engage
7408-OFWXJ,6465.599999999999,0.0,VIP Customer,30.25,Medium,Monitor and engage
1930-QPBVZ,6466.799999999999,0.0,VIP Customer,30.25,Medium,Monitor and engage
5240-CAOYT,4990.349999999999,0.115,High Value Customer,30.25,Medium,Monitor and engage
6341-AEVKX,6466.599999999999,0.0,VIP Customer,30.25,Medium,Monitor and engage
5377-NDTOU,6464.55,0.0,VIP Customer,30.24,Medium,Monitor and engage
7997-EASSD,5115.6,0.105,High Value Customer,30.23,Medium,Monitor and engage
9489-JMTTN,6462.0,0.0,VIP Customer,30.23,Medium,Monitor and engage
0238-WHBIQ,6458.400000000001,0.0,VIP Customer,30.21,Medium,Monitor and engage
5968-XQIVE,6458.400000000001,0.0,VIP Customer,30.21,Medium,Monitor and engage
6196-HBOBZ,6457.75,0.0,VIP Customer,30.21,Medium,Monitor and engage
4658-HCOHW,2158.8,0.335,Low Priority,30.2,Medium,Monitor and engage
2000-DHJUY,6454.0,0.0,VIP Customer,30.19,Medium,Monitor and engage
7233-DRTRF,6451.200000000001,0.0,VIP Customer,30.18,Medium,Monitor and engage
3398-GCPMU,6447.599999999999,0.0,VIP Customer,30.16,Medium,Monitor and engage
2885-HIJDH,5996.1,0.035,High Value Customer,30.15,Medium,Monitor and engage
8065-BVEPF,6441.5,0.0,VIP Customer,30.14,Medium,Monitor and engage
2165-VOEGB,4839.2,0.125,High Value Customer,30.14,Medium,Monitor and engage
0330-IVZHA,349.75,0.475,Monitor,30.14,Medium,Monitor and engage
4446-BZKHU,6438.55,0.0,VIP Customer,30.12,Medium,Monitor and engage
7710-JSYOA,6437.7,0.0,VIP Customer,30.12,Medium,Monitor and engage
5716-EZXZN,6438.25,0.0,VIP Customer,30.12,Medium,Monitor and engage
6408-WHTEF,6436.8,0.0,VIP Customer,30.11,Medium,Monitor and engage
1568-BEKZM,6303.5,0.01,VIP Customer,30.09,Medium,Monitor and engage
3508-VLHCZ,6429.05,0.0,VIP Customer,30.08,Medium,Monitor and engage
7398-HPYZQ,6429.05,0.0,VIP Customer,30.08,Medium,Monitor and engage
9926-PJHDQ,5529.599999999999,0.07,High Value Customer,30.07,Medium,Monitor and engage
6729-GDNGC,1614.0,0.375,Low Priority,30.05,Medium,Monitor and engage
2960-NKRSO,2062.8,0.34,Low Priority,30.05,Medium,Monitor and engage
3374-LXDEV,1162.2,0.41,Monitor,30.04,Medium,Monitor and engage
0795-LAFGP,6418.400000000001,0.0,VIP Customer,30.03,Medium,Monitor and engage
5223-UZAVK,6419.2,0.0,VIP Customer,30.03,Medium,Monitor and engage
0409-WTMPL,6417.700000000001,0.0,VIP Customer,30.02,Medium,Monitor and engage
5248-KWLAR,6414.849999999999,0.0,VIP Customer,30.01,Medium,Monitor and engage
3219-JQRSL,6415.2,0.0,VIP Customer,30.01,Medium,Monitor and engage
5997-OPVFA,6411.599999999999,0.0,VIP Customer,30.0,Medium,Monitor and engage
9701-CDXHR,3526.65,0.225,High Value Customer,30.0,Medium,Monitor and engage
5651-YLPRD,2755.2,0.285,Low Priority,29.99,Medium,Monitor and engage
0730-BGQGF,6411.3,0.0,VIP Customer,29.99,Medium,Monitor and engage
6286-SUUWT,19.95,0.4982,Monitor,29.99,Medium,Monitor and engage
8016-NCFVO,6407.5,0.0,VIP Customer,29.98,Medium,Monitor and engage
2482-CZGBB,700.0,0.445,Monitor,29.97,Medium,Monitor and engage
9518-RWHZL,6403.2,0.0,VIP Customer,29.96,Medium,Monitor and engage
2400-XIWIO,6397.099999999999,0.0,VIP Customer,29.93,Medium,Monitor and engage
6048-QBXKL,113.1,0.49,Monitor,29.93,Medium,Monitor and engage
4329-YPDDQ,2164.0,0.33,Low Priority,29.92,Medium,Monitor and engage
0365-TRTPY,3374.4,0.235,High Value Customer,29.89,Medium,Monitor and engage
6701-YVNQG,6386.400000000001,0.0,VIP Customer,29.88,Medium,Monitor and engage
2925-VDZHY,6386.400000000001,0.0,VIP Customer,29.88,Medium,Monitor and engage
5117-ZSMHQ,6382.900000000001,0.0,VIP Customer,29.86,Medium,Monitor and engage
4674-HGNUA,6382.900000000001,0.0,VIP Customer,29.86,Medium,Monitor and engage
9589-ABEPT,6379.05,0.0,VIP Customer,29.84,Medium,Monitor and engage
2176-LVPNX,6379.349999999999,0.0,VIP Customer,29.84,Medium,Monitor and engage
7873-CVMAW,6375.599999999999,0.0,VIP Customer,29.83,Medium,Monitor and engage
6242-FEGFD,6375.599999999999,0.0,VIP Customer,29.83,Medium,Monitor and engage
1575-KRZZE,220.8,0.48,Monitor,29.83,Medium,Monitor and engage
6874-SGLHU,2910.0,0.27,Low Priority,29.81,Medium,Monitor and engage
8651-ENBZX,6360.0,0.0,VIP Customer,29.75,Medium,Monitor and engage
2988-GBIVW,6359.5,0.0,VIP Customer,29.75,Medium,Monitor and engage
7752-XUSCI,6354.0,0.0,VIP Customer,29.73,Medium,Monitor and engage
5647-FXOTP,6354.0,0.0,VIP Customer,29.73,Medium,Monitor and engage
9570-KYEUA,6352.0,0.0,VIP Customer,29.72,Medium,Monitor and engage
5089-IFSDP,6348.1,0.0,VIP Customer,29.7,Medium,Monitor and engage
9974-JFBHQ,6345.6,0.0,VIP Customer,29.69,Medium,Monitor and engage
3858-XHYJO,4230.0,0.165,High Value Customer,29.69,Medium,Monitor and engage
4488-KQFDT,6340.95,0.0,VIP Customer,29.67,Medium,Monitor and engage
2194-IIQOF,6340.3,0.0,VIP Customer,29.66,Medium,Monitor and engage
5879-HMFFH,6339.599999999999,0.0,VIP Customer,29.66,Medium,Monitor and engage
3146-MSEGF,6339.599999999999,0.0,VIP Customer,29.66,Medium,Monitor and engage
2830-LEWOA,6337.900000000001,0.0,VIP Customer,29.65,Medium,Monitor and engage
2386-LAHRK,53.5,0.49,Monitor,29.65,Medium,Monitor and engage
4049-ZPALD,6336.0,0.0,VIP Customer,29.64,Medium,Monitor and engage
7549-MYGPK,6334.65,0.0,VIP Customer,29.64,Medium,Monitor and engage
4706-DGAHW,45.2,0.49,Monitor,29.61,Medium,Monitor and engage
6365-HITVU,6194.75,0.01,VIP Customer,29.58,Medium,Monitor and engage
3351-NQLDI,6321.45,0.0,VIP Customer,29.57,Medium,Monitor and engage
5504-WSIUR,6317.5,0.0,VIP Customer,29.56,Medium,Monitor and engage
1174-FGIFN,2532.6,0.295,Low Priority,29.55,Medium,Monitor and engage
2227-JRSJX,2082.15,0.33,Low Priority,29.54,Medium,Monitor and engage
3424-NMNBO,6313.299999999999,0.0,VIP Customer,29.54,Medium,Monitor and engage
9919-FZDED,6055.2,0.02,VIP Customer,29.53,Medium,Monitor and engage
3758-CKOQL,6313.0,0.0,VIP Customer,29.53,Medium,Monitor and engage
6122-LJADA,6310.5,0.0,VIP Customer,29.52,Medium,Monitor and engage
5702-KVQRD,5861.05,0.035,High Value Customer,29.52,Medium,Monitor and engage
5921-NGYRH,4707.2,0.125,High Value Customer,29.52,Medium,Monitor and engage
3392-EHMNK,6304.7,0.0,VIP Customer,29.5,Medium,Monitor and engage
4077-HWUYD,6303.599999999999,0.0,VIP Customer,29.49,Medium,Monitor and engage
8715-KKTFG,6301.3,0.0,VIP Customer,29.48,Medium,Monitor and engage
9572-MTILT,6298.25,0.0,VIP Customer,29.47,Medium,Monitor and engage
3170-GWYKC,6297.0,0.0,VIP Customer,29.46,Medium,Monitor and engage
9494-BDNNC,6289.8,0.0,VIP Customer,29.43,Medium,Monitor and engage
4553-DVPZG,6283.7,0.0,VIP Customer,29.4,Medium,Monitor and engage
4701-LKOZD,6282.5,0.0,VIP Customer,29.39,Medium,Monitor and engage
6211-WWLTF,6281.1,0.0,VIP Customer,29.39,Medium,Monitor and engage
8769-KKTPH,6277.950000000001,0.0,VIP Customer,29.37,Medium,Monitor and engage
5980-BDHPY,6271.2,0.0,VIP Customer,29.34,Medium,Monitor and engage
7182-OVLBJ,6271.3,0.0,VIP Customer,29.34,Medium,Monitor and engage
1568-LJSZU,6269.6,0.0,VIP Customer,29.33,Medium,Monitor and engage
9912-OMZDS,6262.85,0.0,VIP Customer,29.3,Medium,Monitor and engage
3571-DPYUH,5492.6,0.06,High Value Customer,29.3,Medium,Monitor and engage
2519-LBNQL,6261.0,0.0,VIP Customer,29.29,Medium,Monitor and engage
8413-YNHNV,6254.85,0.0,VIP Customer,29.26,Medium,Monitor and engage
6900-RBKER,4651.400000000001,0.125,High Value Customer,29.26,Medium,Monitor and engage
1707-HABPF,4199.8,0.16,High Value Customer,29.25,Medium,Monitor and engage
9339-FIIJL,6188.400000000001,0.005,VIP Customer,29.25,Medium,Monitor and engage
2088-IEBAU,5994.200000000001,0.02,High Value Customer,29.24,Medium,Monitor and engage
2000-MPKCA,6249.5,0.0,VIP Customer,29.24,Medium,Monitor and engage
7740-BTPUX,6248.0,0.0,VIP Customer,29.23,Medium,Monitor and engage
6461-SZMCV,6244.45,0.0,VIP Customer,29.21,Medium,Monitor and engage
3733-UOCWF,5218.55,0.08,High Value Customer,29.21,Medium,Monitor and engage
0442-ZXKVS,6242.4,0.0,VIP Customer,29.2,Medium,Monitor and engage
0744-BIKKF,6238.8,0.0,VIP Customer,29.19,Medium,Monitor and engage
4723-BEGSG,6238.8,0.0,VIP Customer,29.19,Medium,Monitor and engage
0103-CSITQ,6235.8,0.0,VIP Customer,29.17,Medium,Monitor and engage
7301-ABVAD,6235.2,0.0,VIP Customer,29.17,Medium,Monitor and engage
1642-HMARX,6235.6,0.0,VIP Customer,29.17,Medium,Monitor and engage
9415-ZNBSX,6230.0,0.0,VIP Customer,29.15,Medium,Monitor and engage
3413-DHLPB,6225.0,0.0,VIP Customer,29.12,Medium,Monitor and engage
1550-LOAHA,2692.8,0.275,Low Priority,29.1,Medium,Monitor and engage
8218-FFJDS,6220.8,0.0,VIP Customer,29.1,Medium,Monitor and engage
2382-BCKQJ,6209.3,0.0,VIP Customer,29.05,Medium,Monitor and engage
0596-BQCEQ,6209.3,0.0,VIP Customer,29.05,Medium,Monitor and engage
4654-DLAMQ,6208.0,0.0,VIP Customer,29.04,Medium,Monitor and engage
7188-CBBBA,6207.5,0.0,VIP Customer,29.04,Medium,Monitor and engage
1891-FZYSA,6206.55,0.0,VIP Customer,29.04,Medium,Monitor and engage
9776-OJUZI,6204.25,0.0,VIP Customer,29.03,Medium,Monitor and engage
4759-PXTAN,4725.9,0.115,High Value Customer,29.01,Medium,Monitor and engage
3327-YBAKM,6201.6,0.0,VIP Customer,29.01,Medium,Monitor and engage
6963-EZQEE,6198.5,0.0,VIP Customer,29.0,Medium,Monitor and engage
8374-UULRV,6195.599999999999,0.0,VIP Customer,28.99,Medium,Monitor and engage
0248-PGHBZ,6194.150000000001,0.0,VIP Customer,28.98,Medium,Monitor and engage
0206-TBWLC,6191.1,0.0,VIP Customer,28.96,Medium,Monitor and engage
2673-CXQEU,6188.0,0.0,VIP Customer,28.95,Medium,Monitor and engage
2226-ICFDO,6184.8,0.0,VIP Customer,28.93,Medium,Monitor and engage
6258-PVZWJ,6174.4,0.0,VIP Customer,28.89,Medium,Monitor and engage
1502-XFCVR,6174.1,0.0,VIP Customer,28.88,Medium,Monitor and engage
3134-DSHVC,6174.0,0.0,VIP Customer,28.88,Medium,Monitor and engage
6077-BDPXA,210.45,0.465,Monitor,28.88,Medium,Monitor and engage
4455-BFSPD,6170.150000000001,0.0,VIP Customer,28.87,Medium,Monitor and engage
0363-SVHYR,6166.349999999999,0.0,VIP Customer,28.85,Medium,Monitor and engage
1095-WGNGG,6164.05,0.0,VIP Customer,28.84,Medium,Monitor and engage
4178-EGMON,6160.0,0.0,VIP Customer,28.82,Medium,Monitor and engage
7472-EQOAV,6155.7,0.0,VIP Customer,28.8,Medium,Monitor and engage
1400-WIVLL,6153.150000000001,0.0,VIP Customer,28.79,Medium,Monitor and engage
4581-LNWUM,638.9499999999999,0.43,Monitor,28.79,Medium,Monitor and engage
3877-JRJIP,59.85,0.475,Monitor,28.78,Medium,Monitor and engage
6631-HMANX,6152.400000000001,0.0,VIP Customer,28.78,Medium,Monitor and engage
0330-BGYZE,6150.0,0.0,VIP Customer,28.77,Medium,Monitor and engage
0506-LVNGN,377.75,0.45,Monitor,28.77,Medium,Monitor and engage
1492-QGCLU,4542.1,0.125,High Value Customer,28.75,Medium,Monitor and engage
1830-GGFNM,6145.75,0.0,VIP Customer,28.75,Medium,Monitor and engage
9385-NXKDA,5950.8,0.015,High Value Customer,28.74,Medium,Monitor and engage
9530-GRMJG,5887.0,0.02,High Value Customer,28.74,Medium,Monitor and engage
6479-VDGRK,6141.599999999999,0.0,VIP Customer,28.73,Medium,Monitor and engage
9225-BZLNZ,6138.0,0.0,VIP Customer,28.72,Medium,Monitor and engage
4159-NAAIX,6139.35,0.0,VIP Customer,28.72,Medium,Monitor and engage
9058-HRZSV,6136.0,0.0,VIP Customer,28.71,Medium,Monitor and engage
1061-PNTHC,6137.599999999999,0.0,VIP Customer,28.71,Medium,Monitor and engage
6339-TBELP,6134.400000000001,0.0,VIP Customer,28.7,Medium,Monitor and engage
8871-JLMHM,6133.6,0.0,VIP Customer,28.7,Medium,Monitor and engage
0078-XZMHT,6130.8,0.0,VIP Customer,28.68,Medium,Monitor and engage
9453-PATOS,6127.2,0.0,VIP Customer,28.67,Medium,Monitor and engage
0193-ESZXP,6119.0,0.0,VIP Customer,28.63,Medium,Monitor and engage
1261-FWTTE,796.9499999999999,0.415,Monitor,28.63,Medium,Monitor and engage
8125-QPFJD,6112.8,0.0,VIP Customer,28.6,Medium,Monitor and engage
9435-JMLSX,6113.099999999999,0.0,VIP Customer,28.6,Medium,Monitor and engage
8565-WUXZU,6105.599999999999,0.0,VIP Customer,28.56,Medium,Monitor and engage
1448-CYWKC,6101.6,0.0,VIP Customer,28.55,Medium,Monitor and engage
7641-TQFHN,3921.45,0.17,High Value Customer,28.55,Medium,Monitor and engage
4905-JEFDW,457.6,0.44,Monitor,28.54,Medium,Monitor and engage
3262-EIDHV,6098.400000000001,0.0,VIP Customer,28.53,Medium,Monitor and engage
8398-TBIYD,6098.400000000001,0.0,VIP Customer,28.53,Medium,Monitor and engage
6654-QGBZZ,19.9,0.4736999999999999,Monitor,28.52,Medium,Monitor and engage
7544-ZVIKX,6092.9,0.0,VIP Customer,28.5,Medium,Monitor and engage
6818-WOBHJ,6092.799999999999,0.0,VIP Customer,28.5,Medium,Monitor and engage
6885-PKOAM,6088.25,0.0,VIP Customer,28.48,Medium,Monitor and engage
5298-GSTLM,6084.0,0.0,VIP Customer,28.46,Medium,Monitor and engage
5766-FTRTS,6080.400000000001,0.0,VIP Customer,28.45,Medium,Monitor and engage
3108-PCCGG,6080.400000000001,0.0,VIP Customer,28.45,Medium,Monitor and engage
9644-KVCNC,6081.900000000001,0.0,VIP Customer,28.45,Medium,Monitor and engage
0623-EJQEG,6080.75,0.0,VIP Customer,28.45,Medium,Monitor and engage
6704-UTUKK,1331.1,0.37,Low Priority,28.43,Medium,Monitor and engage
8661-BOYNW,6076.8,0.0,VIP Customer,28.43,Medium,Monitor and engage
5268-DSMNQ,6072.900000000001,0.0,VIP Customer,28.41,Medium,Monitor and engage
6481-OGDOO,6070.2,0.0,VIP Customer,28.4,Medium,Monitor and engage
3938-YFPXD,6069.599999999999,0.0,VIP Customer,28.4,Medium,Monitor and engage
3685-YLCMQ,6069.700000000001,0.0,VIP Customer,28.4,Medium,Monitor and engage
3716-LRGXK,6069.0,0.0,VIP Customer,28.39,Medium,Monitor and engage
6997-UVGOX,6066.95,0.0,VIP Customer,28.38,Medium,Monitor and engage
6161-ERDGD,6066.95,0.0,VIP Customer,28.38,Medium,Monitor and engage
2790-XUYMV,6066.95,0.0,VIP Customer,28.38,Medium,Monitor and engage
0487-RPVUM,6063.400000000001,0.0,VIP Customer,28.37,Medium,Monitor and engage
2725-TTRIQ,6062.400000000001,0.0,VIP Customer,28.36,Medium,Monitor and engage
4016-BJKTZ,2722.5,0.26,Low Priority,28.34,Medium,Monitor and engage
0707-HOVVN,5285.0,0.06,High Value Customer,28.33,Medium,Monitor and engage
6437-UDQJM,6055.2,0.0,VIP Customer,28.33,Medium,Monitor and engage
6369-MCAKO,6055.4,0.0,VIP Customer,28.33,Medium,Monitor and engage
4227-OJHAL,4964.0,0.085,High Value Customer,28.32,Medium,Monitor and engage
2434-EEVDB,6054.4,0.0,VIP Customer,28.32,Medium,Monitor and engage
3071-MVJCD,5925.599999999999,0.01,High Value Customer,28.32,Medium,Monitor and engage
2904-GGUAZ,6051.599999999999,0.0,VIP Customer,28.31,Medium,Monitor and engage
7975-JMZNT,6052.2,0.0,VIP Customer,28.31,Medium,Monitor and engage
6695-AMZUF,6051.5,0.0,VIP Customer,28.31,Medium,Monitor and engage
6728-VOIFY,6048.0,0.0,VIP Customer,28.29,Medium,Monitor and engage
1493-AMTIE,20.2,0.47,Monitor,28.29,Medium,Monitor and engage
8034-RYTVV,4633.75,0.11,High Value Customer,28.28,Medium,Monitor and engage
8100-PNJMH,6041.799999999999,0.0,VIP Customer,28.27,Medium,Monitor and engage
9767-FFLEM,2641.0,0.265,Low Priority,28.26,Medium,Monitor and engage
4993-JCRGJ,2191.8,0.3,Low Priority,28.25,Medium,Monitor and engage
9705-IOVQQ,6039.0,0.0,VIP Customer,28.25,Medium,Monitor and engage
1265-HVPZB,3917.6,0.165,High Value Customer,28.23,Medium,Monitor and engage
1728-CXQBE,6032.0,0.0,VIP Customer,28.22,Medium,Monitor and engage
0512-FLFDW,6030.0,0.0,VIP Customer,28.21,Medium,Monitor and engage
2041-JIJCI,320.0,0.445,Monitor,28.2,Medium,Monitor and engage
7101-HRBLJ,6026.400000000001,0.0,VIP Customer,28.19,Medium,Monitor and engage
6435-VWCCY,6025.5,0.0,VIP Customer,28.19,Medium,Monitor and engage
3891-PUQOD,59.2,0.465,Monitor,28.18,Medium,Monitor and engage
8707-RMEZH,6023.7,0.0,VIP Customer,28.18,Medium,Monitor and engage
0310-SUCIN,6020.8,0.0,VIP Customer,28.17,Medium,Monitor and engage
1298-PHBTI,6020.8,0.0,VIP Customer,28.17,Medium,Monitor and engage
3544-FBCAS,6019.2,0.0,VIP Customer,28.16,Medium,Monitor and engage
6732-VAILE,6016.5,0.0,VIP Customer,28.15,Medium,Monitor and engage
6656-GULJQ,6015.599999999999,0.0,VIP Customer,28.14,Medium,Monitor and engage
0048-LUMLS,3374.4,0.205,High Value Customer,28.09,Medium,Monitor and engage
7973-DZRKH,6002.7,0.0,VIP Customer,28.08,Medium,Monitor and engage
