customer_id,ltv,ltv_segment,churn_risk,customer_segment
8414-OOEEL,5247.0,High Value,Low Risk,High Value Customer
8631-NBHFZ,5240.400000000001,High Value,Low Risk,High Value Customer
2139-FQHLM,1709.05,Medium Value,Low Risk,Low Priority
1658-XUHBX,5236.25,High Value,Low Risk,High Value Customer
2957-JIRMN,5235.900000000001,High Value,Low Risk,High Value Customer
6685-GBWJZ,4460.4,High Value,Low Risk,High Value Customer
6194-HBGQN,4138.650000000001,High Value,Low Risk,High Value Customer
6121-TNHBO,5229.0,High Value,Low Risk,High Value Customer
0988-JRWWP,162.60000000000002,Low Value,Low Risk,Low Priority
2882-WDTBA,5226.75,High Value,Low Risk,High Value Customer
9770-KXGQU,5225.799999999999,High Value,Low Risk,High Value Customer
1169-SAOCL,5225.85,High Value,Low Risk,High Value Customer
5855-EIBDE,5225.85,High Value,Low Risk,High Value Customer
6402-EJMWF,221.2,Low Value,Low Risk,Low Priority
5802-ADBRC,5220.0,High Value,Low Risk,High Value Customer
8932-CZHRQ,5219.0,High Value,Low Risk,High Value Customer
5781-RFZRP,5218.5,High Value,Low Risk,High Value Customer
1323-OOEPC,5215.200000000001,High Value,Low Risk,High Value Customer
3470-OBUET,4958.0,High Value,Low Risk,High Value Customer
8268-YDIXR,5216.400000000001,High Value,Low Risk,High Value Customer
3253-HKOKL,5215.599999999999,High Value,Low Risk,High Value Customer
2205-LPVGL,5211.299999999999,High Value,Low Risk,High Value Customer
3807-BPOMJ,5211.25,High Value,Low Risk,High Value Customer
4789-KWMXN,5209.95,High Value,Low Risk,High Value Customer
5676-CFLYY,5207.849999999999,High Value,Low Risk,High Value Customer
6421-SZVEM,2319.8,Medium Value,Low Risk,Low Priority
9659-QEQSY,5204.25,High Value,Low Risk,High Value Customer
1265-ZFOSD,5203.2,High Value,Low Risk,High Value Customer
0083-PIVIK,5200.0,High Value,Low Risk,High Value Customer
3200-MNQTF,4750.3,High Value,Low Risk,High Value Customer
7271-AJDTL,5194.75,High Value,Low Risk,High Value Customer
4737-AQCPU,5191.2,High Value,Low Risk,High Value Customer
3804-RVTGV,5192.5,High Value,Low Risk,High Value Customer
1842-EZJMK,5185.0,High Value,Low Risk,High Value Customer
5294-IMHHT,5180.75,High Value,Low Risk,High Value Customer
7711-YIJWC,5178.900000000001,High Value,Low Risk,High Value Customer
6953-PBDIN,5106.5,High Value,Low Risk,High Value Customer
4816-OKWNX,5170.0,High Value,Low Risk,High Value Customer
4293-ETKAP,5161.0,High Value,Low Risk,High Value Customer
7855-DIWPO,1441.65,Medium Value,Low Risk,Low Priority
5414-OFQCB,5155.650000000001,High Value,Low Risk,High Value Customer
6394-MFYNG,5155.200000000001,High Value,Low Risk,High Value Customer
2931-XIQBR,5152.5,High Value,Low Risk,High Value Customer
4322-RCYMT,5154.4,High Value,Low Risk,High Value Customer
6599-RCLCJ,5148.849999999999,High Value,Low Risk,High Value Customer
1346-UFHAX,1040.0,Medium Value,Low Risk,Low Priority
9048-JVYVF,208.05,Low Value,Low Risk,Low Priority
8348-JLBUG,5139.2,High Value,Low Risk,High Value Customer
0621-HJWXJ,5137.65,High Value,Low Risk,High Value Customer
6838-YAUVY,5135.4,High Value,Low Risk,High Value Customer
3913-FCUUW,5072.400000000001,High Value,Low Risk,High Value Customer
9013-AQORL,2186.4,Medium Value,Low Risk,Low Priority
5195-KPUNQ,5127.75,High Value,Low Risk,High Value Customer
1498-NHTLT,5118.25,High Value,Low Risk,High Value Customer
1732-FEKLD,5116.5,High Value,Low Risk,High Value Customer
1471-GIQKQ,49.95,Low Value,Low Risk,Low Priority
0013-MHZWF,624.6,Low Value,Low Risk,Low Priority
7524-VRLPL,5112.9,High Value,Low Risk,High Value Customer
2758-RNWXS,3122.0,High Value,Low Risk,High Value Customer
7164-BPTUT,5104.349999999999,High Value,Low Risk,High Value Customer
4472-VESGY,5103.8,High Value,Low Risk,High Value Customer
1950-KSVVJ,5098.5,High Value,Low Risk,High Value Customer
7654-YWJUF,3622.75,High Value,Low Risk,High Value Customer
6901-GOGZG,5097.0,High Value,Low Risk,High Value Customer
4676-MQUEA,5095.0,High Value,Low Risk,High Value Customer
1899-VXWXM,5092.799999999999,High Value,Low Risk,High Value Customer
9822-BIIGN,3808.05,High Value,Low Risk,High Value Customer
0973-KYVNF,5086.8,High Value,Low Risk,High Value Customer
9391-LMANN,5085.35,High Value,Low Risk,High Value Customer
7103-ZGVNT,5085.3,High Value,Low Risk,High Value Customer
2858-EIMXH,5080.049999999999,High Value,Low Risk,High Value Customer
0956-ACVZC,5081.4,High Value,Low Risk,High Value Customer
0280-XJGEX,5081.3,High Value,Low Risk,High Value Customer
5803-NQJZO,4881.599999999999,High Value,Low Risk,High Value Customer
9943-VSZUV,5071.900000000001,High Value,Low Risk,High Value Customer
1020-JPQOW,5070.8,High Value,Low Risk,High Value Customer
7576-JMYWV,5069.2,High Value,Low Risk,High Value Customer
8311-UEUAB,5058.5,High Value,Low Risk,High Value Customer
0691-IFBQW,5060.0,High Value,Low Risk,High Value Customer
2796-UUZZO,5058.9,High Value,Low Risk,High Value Customer
6741-QRLUP,5058.9,High Value,Low Risk,High Value Customer
0909-SELIE,4928.8,High Value,Low Risk,High Value Customer
6891-JPYFF,5052.0,High Value,Low Risk,High Value Customer
1599-MMYRQ,5049.900000000001,High Value,Low Risk,High Value Customer
6253-GNHWH,5048.099999999999,High Value,Low Risk,High Value Customer
6480-YAGIY,5049.0,High Value,Low Risk,High Value Customer
5649-RXQTV,5049.0,High Value,Low Risk,High Value Customer
8133-ANHHJ,5047.0,High Value,Low Risk,High Value Customer
5103-MHMHY,45.95,Low Value,Low Risk,Low Priority
5118-MUEYH,5044.799999999999,High Value,Low Risk,High Value Customer
4566-GOLUK,5045.45,High Value,Low Risk,High Value Customer
2911-WDXMV,1449.9,Medium Value,Low Risk,Low Priority
9470-YFUYI,5041.0,High Value,Low Risk,High Value Customer
1088-CNNKB,5040.0,High Value,Low Risk,High Value Customer
3055-VTCGS,3688.65,High Value,Low Risk,High Value Customer
9389-ACWBI,349.75,Low Value,Low Risk,Low Priority
9251-WNSOD,5031.7,High Value,Low Risk,High Value Customer
5671-UUNXD,5032.5,High Value,Low Risk,High Value Customer
5846-NEQVZ,5030.349999999999,High Value,Low Risk,High Value Customer
0270-THENM,5029.2,High Value,Low Risk,High Value Customer
4671-VJLCL,5030.549999999999,High Value,Low Risk,High Value Customer
8992-CEUEN,18.85,Low Value,Low Risk,Low Priority
0691-JVSYA,5027.049999999999,High Value,Low Risk,High Value Customer
1935-IMVBB,5023.2,High Value,Low Risk,High Value Customer
6418-PIQSP,5022.0,High Value,Low Risk,High Value Customer
2325-ZUSFD,3995.7,High Value,Low Risk,High Value Customer
9199-PWQVC,5021.1,High Value,Low Risk,High Value Customer
3795-GWTRD,4759.65,High Value,Low Risk,High Value Customer
8552-OBVRU,5016.0,High Value,Low Risk,High Value Customer
0229-LFJAF,5014.8,High Value,Low Risk,High Value Customer
4366-CTOUZ,5010.0,High Value,Low Risk,High Value Customer
0345-XMMUG,5009.400000000001,High Value,Low Risk,High Value Customer
4238-HFHSN,5011.150000000001,High Value,Low Risk,High Value Customer
1527-SXDPN,5005.0,High Value,Low Risk,High Value Customer
5934-TSSAU,1731.9,Medium Value,Low Risk,Low Priority
5630-IXDXV,4998.45,High Value,Low Risk,High Value Customer
3927-NLNRY,4995.25,High Value,Low Risk,High Value Customer
2178-PMGCJ,1533.4,Medium Value,Low Risk,Low Priority
7470-MCQTK,633.75,Low Value,Low Risk,Low Priority
9909-DFRJA,2492.1,Medium Value,Low Risk,Low Priority
3259-QMXUN,4993.799999999999,High Value,Low Risk,High Value Customer
5498-IBWPI,3260.4,High Value,Low Risk,High Value Customer
8276-MQBYC,4987.8,High Value,Low Risk,High Value Customer
2038-LLMLM,4984.799999999999,High Value,Low Risk,High Value Customer
2363-BJLSL,4984.8,High Value,Low Risk,High Value Customer
4355-CVPVS,4978.400000000001,High Value,Low Risk,High Value Customer
5628-RKIFK,4975.95,High Value,Low Risk,High Value Customer
4307-KTUMW,4976.700000000001,High Value,Low Risk,High Value Customer
4918-FYJNT,4974.75,High Value,Low Risk,High Value Customer
7449-HVPIV,4972.0,High Value,Low Risk,High Value Customer
7103-IPXPJ,4970.0,High Value,Low Risk,High Value Customer
5893-PYOLZ,4580.8,High Value,Low Risk,High Value Customer
2256-YLYLP,4960.6,High Value,Low Risk,High Value Customer
9691-HKOVS,4958.25,High Value,Low Risk,High Value Customer
3569-VLDHH,4956.599999999999,High Value,Low Risk,High Value Customer
6120-RJKLU,4956.900000000001,High Value,Low Risk,High Value Customer
4800-CZMPC,4956.0,High Value,Low Risk,High Value Customer
0887-WBJVH,4952.85,High Value,Low Risk,High Value Customer
4685-ERGHK,4953.3,High Value,Low Risk,High Value Customer
8039-ACLPL,4950.0,High Value,Low Risk,High Value Customer
8993-PHFWD,75.75,Low Value,Low Risk,Low Priority
1557-EMYVT,4947.15,High Value,Low Risk,High Value Customer
9548-LIGTA,4944.05,High Value,Low Risk,High Value Customer
2040-VZIKE,4941.65,High Value,Low Risk,High Value Customer
7446-KQISO,4938.75,High Value,Low Risk,High Value Customer
6754-LZUKA,4934.900000000001,High Value,Low Risk,High Value Customer
1541-ETJZO,62.05,Low Value,Low Risk,Low Priority
4785-QRJHC,2755.4,Medium Value,Low Risk,Low Priority
5278-PNYOX,4931.85,High Value,Low Risk,High Value Customer
3190-XFANI,4929.4,High Value,Low Risk,High Value Customer
7169-YWAMK,4924.8,High Value,Low Risk,High Value Customer
0771-CHWSK,4923.599999999999,High Value,Low Risk,High Value Customer
9432-RUVSL,4920.0,High Value,Low Risk,High Value Customer
5609-IMCGG,1265.25,Medium Value,Low Risk,Low Priority
4070-OKWVH,4919.2,High Value,Low Risk,High Value Customer
1810-BOHSY,4916.400000000001,High Value,Low Risk,High Value Customer
8760-ZRHKE,4913.2,High Value,Low Risk,High Value Customer
7346-MEDWM,4911.75,High Value,Low Risk,High Value Customer
6087-YPWHO,4906.8,High Value,Low Risk,High Value Customer
3162-ZJZFU,4905.15,High Value,Low Risk,High Value Customer
1096-ADRUX,4900.5,High Value,Low Risk,High Value Customer
5161-XEUVX,3489.1,High Value,Low Risk,High Value Customer
9227-LUNBG,24.6,Low Value,Low Risk,Low Priority
5136-RGMZO,2202.55,Medium Value,Low Risk,Low Priority
8406-LNMHF,4894.05,High Value,Low Risk,High Value Customer
3384-CTMSF,4892.7,High Value,Low Risk,High Value Customer
5641-DMBFJ,4889.4,High Value,Low Risk,High Value Customer
0258-NOKBL,271.20000000000005,Low Value,Low Risk,Low Priority
4560-WQAQW,4053.3,High Value,Low Risk,High Value Customer
4892-VLANZ,19.8,Low Value,Low Risk,Low Priority
1023-BQXZE,4237.95,High Value,Low Risk,High Value Customer
3244-DCJWY,70.25,Low Value,Low Risk,Low Priority
1216-BGTSP,4880.25,High Value,Low Risk,High Value Customer
9732-EQMWY,4870.6,High Value,Low Risk,High Value Customer
2612-PHGOX,4870.4,High Value,Low Risk,High Value Customer
2284-VFLKH,4863.25,High Value,Low Risk,High Value Customer
5458-CQJTA,4862.0,High Value,Low Risk,High Value Customer
5536-RTPWK,4853.45,High Value,Low Risk,High Value Customer
4531-AUZNK,4852.650000000001,High Value,Low Risk,High Value Customer
1485-YDHMM,4849.0,High Value,Low Risk,High Value Customer
7975-TZMLR,4845.7,High Value,Low Risk,High Value Customer
9500-IWPXQ,4843.400000000001,High Value,Low Risk,High Value Customer
9489-DEDVP,4844.0,High Value,Low Risk,High Value Customer
0880-FVFWF,4838.400000000001,High Value,Low Risk,High Value Customer
5115-GZDEL,4838.400000000001,High Value,Low Risk,High Value Customer
8495-PRWFH,2337.3,Medium Value,Low Risk,Low Priority
6988-CJEYV,4836.3,High Value,Low Risk,High Value Customer
8945-MUQUF,4834.8,High Value,Low Risk,High Value Customer
5394-MEITZ,4836.0,High Value,Low Risk,High Value Customer
2054-PJOCK,4833.0,High Value,Low Risk,High Value Customer
7402-PWYJJ,4830.950000000001,High Value,Low Risk,High Value Customer
6689-VRRTK,4831.2,High Value,Low Risk,High Value Customer
3325-FUYCG,2970.8,Medium Value,Low Risk,Low Priority
5364-XYIRR,4827.150000000001,High Value,Low Risk,High Value Customer
4915-BFSXL,4826.5,High Value,Low Risk,High Value Customer
1965-DDBWU,1424.8,Medium Value,Low Risk,Low Priority
3533-UVMOM,4824.6,High Value,Low Risk,High Value Customer
2077-DDHJK,4821.200000000001,High Value,Low Risk,High Value Customer
2753-JMMCV,4823.0,High Value,Low Risk,High Value Customer
3545-CNWRG,4819.15,High Value,Low Risk,High Value Customer
9297-FVVDH,4816.5,High Value,Low Risk,High Value Customer
1266-NZYUI,4813.2,High Value,Low Risk,High Value Customer
9378-FXTIZ,3788.1,High Value,Low Risk,High Value Customer
3500-NSDOA,4814.4,High Value,Low Risk,High Value Customer
8189-HBVRW,4812.4,High Value,Low Risk,High Value Customer
0365-GXEZS,1407.6,Medium Value,Low Risk,Low Priority
9711-FJTBX,4807.599999999999,High Value,Low Risk,High Value Customer
7399-QHBJS,4806.0,High Value,Low Risk,High Value Customer
2669-OIDSD,4802.4,High Value,Low Risk,High Value Customer
6603-QWSPR,4802.400000000001,High Value,Low Risk,High Value Customer
7622-FWGEW,4796.400000000001,High Value,Low Risk,High Value Customer
0769-MURVM,4730.400000000001,High Value,Low Risk,High Value Customer
7921-LMDFQ,4794.0,High Value,Low Risk,High Value Customer
5018-GWURO,4793.599999999999,High Value,Low Risk,High Value Customer
3115-JPJDD,4793.75,High Value,Low Risk,High Value Customer
9565-JSNFM,2677.1,Medium Value,Low Risk,Low Priority
1122-YJBCS,3701.85,High Value,Low Risk,High Value Customer
7480-QNVZJ,4785.0,High Value,Low Risk,High Value Customer
6212-ATMLK,4785.0,High Value,Low Risk,High Value Customer
1545-ACTAS,4785.6,High Value,Low Risk,High Value Customer
4057-FKCZK,4785.0,High Value,Low Risk,High Value Customer
0301-FIDRB,4593.599999999999,High Value,Low Risk,High Value Customer
3062-ICYZQ,4783.8,High Value,Low Risk,High Value Customer
8749-JMNKX,4783.8,High Value,Low Risk,High Value Customer
1136-XGEQU,4207.5,High Value,Low Risk,High Value Customer
9968-FFVVH,4334.4,High Value,Low Risk,High Value Customer
2720-FVBQP,293.70000000000005,Low Value,Low Risk,Low Priority
8659-HDIYE,4777.6,High Value,Low Risk,High Value Customer
1816-FLZDK,29.15,Low Value,Low Risk,Low Priority
1591-MQJTP,4776.150000000001,High Value,Low Risk,High Value Customer
3902-MIVLE,4769.1,High Value,Low Risk,High Value Customer
5099-BAILX,4762.25,High Value,Low Risk,High Value Customer
1455-HFBXA,4763.2,High Value,Low Risk,High Value Customer
5148-ORICT,4758.4,High Value,Low Risk,High Value Customer
5208-FVQKB,4756.5,High Value,Low Risk,High Value Customer
2782-LFZVW,648.45,Low Value,Low Risk,Low Priority
0233-FTHAV,4752.0,High Value,Low Risk,High Value Customer
7064-FRRSW,4752.0,High Value,Low Risk,High Value Customer
4079-VTGLK,2245.5,Medium Value,Low Risk,Low Priority
9803-FTJCG,4746.349999999999,High Value,Low Risk,High Value Customer
7047-FWEYA,4744.900000000001,High Value,Low Risk,High Value Customer
0750-EBAIU,4745.0,High Value,Low Risk,High Value Customer
1866-DIOQZ,4742.8,High Value,Low Risk,High Value Customer
9079-LWTFD,4735.25,High Value,Low Risk,High Value Customer
3896-RCYYE,3577.8,High Value,Low Risk,High Value Customer
9408-HRXRK,4731.75,High Value,Low Risk,High Value Customer
2480-SQIOB,179.2,Low Value,Low Risk,Low Priority
5360-XGYAZ,4726.8,High Value,Low Risk,High Value Customer
2672-OJQZP,44.75,Low Value,Low Risk,Low Priority
8908-NMQTX,4723.2,High Value,Low Risk,High Value Customer
0434-CSFON,4723.5,High Value,Low Risk,High Value Customer
2267-FPIMA,4720.0,High Value,Low Risk,High Value Customer
4079-WWQQQ,4719.599999999999,High Value,Low Risk,High Value Customer
6115-ZTBFQ,4716.0,High Value,Low Risk,High Value Customer
5655-JSMZM,4713.8,High Value,Low Risk,High Value Customer
3780-DDGSE,2661.75,Medium Value,Low Risk,Low Priority
9360-AHGNL,4710.65,High Value,Low Risk,High Value Customer
2890-WFBHU,4711.15,High Value,Low Risk,High Value Customer
0687-ZVTHB,4709.25,High Value,Low Risk,High Value Customer
7609-YBPXG,4703.4,High Value,Low Risk,High Value Customer
8634-MPHTR,4702.349999999999,High Value,Low Risk,High Value Customer
0533-BNWKF,4699.75,High Value,Low Risk,High Value Customer
3850-OKINF,4700.2,High Value,Low Risk,High Value Customer
9443-JUBUO,4698.0,High Value,Low Risk,High Value Customer
7860-UXCRM,4693.5,High Value,Low Risk,High Value Customer
7781-HVGMK,4694.400000000001,High Value,Low Risk,High Value Customer
4361-BKAXE,4694.5,High Value,Low Risk,High Value Customer
9242-TKFSV,4687.2,High Value,Low Risk,High Value Customer
4648-YPBTM,3916.7,High Value,Low Risk,High Value Customer
8610-WFCJF,4684.4,High Value,Low Risk,High Value Customer
4128-ETESU,4685.900000000001,High Value,Low Risk,High Value Customer
5996-EBTKM,4683.3,High Value,Low Risk,High Value Customer
2404-JIBFC,4680.5,High Value,Low Risk,High Value Customer
3541-ZNUHK,4680.5,High Value,Low Risk,High Value Customer
7824-PANSQ,4677.700000000001,High Value,Low Risk,High Value Customer
4334-HOWRP,4676.400000000001,High Value,Low Risk,High Value Customer
8016-ZMGMO,4676.099999999999,High Value,Low Risk,High Value Customer
3316-UWXUY,4675.0,High Value,Low Risk,High Value Customer
0701-RFGFI,4674.6,High Value,Low Risk,High Value Customer
9845-PEEKO,4672.8,High Value,Low Risk,High Value Customer
9115-YQHGA,2044.0,Medium Value,Low Risk,Low Priority
6467-CHFZW,4669.45,High Value,Low Risk,High Value Customer
3948-KXDUF,4537.5,High Value,Low Risk,High Value Customer
5275-PMFUT,4665.599999999999,High Value,Low Risk,High Value Customer
8204-YJCLA,4665.599999999999,High Value,Low Risk,High Value Customer
4393-RYCRE,4666.2,High Value,Low Risk,High Value Customer
5820-PTRYM,3833.2,High Value,Low Risk,High Value Customer
3932-IJWDZ,4664.25,High Value,Low Risk,High Value Customer
9499-XPZXM,4662.0,High Value,Low Risk,High Value Customer
9158-VCTQB,4657.599999999999,High Value,Low Risk,High Value Customer
6166-YIPFO,4658.400000000001,High Value,Low Risk,High Value Customer
3594-KADLU,105.3,Low Value,Low Risk,Low Priority
6821-JPCDC,4658.4,High Value,Low Risk,High Value Customer
0292-WEGCH,4654.8,High Value,Low Risk,High Value Customer
8626-PTQGE,4143.45,High Value,Low Risk,High Value Customer
2014-MKGMH,4650.599999999999,High Value,Low Risk,High Value Customer
6179-GJPSO,4650.45,High Value,Low Risk,High Value Customer
5327-CNLUQ,4651.200000000001,High Value,Low Risk,High Value Customer
4433-JCGCG,4646.0,High Value,Low Risk,High Value Customer
5524-KHNJP,2466.75,Medium Value,Low Risk,Low Priority
6322-PJJDJ,4645.2,High Value,Low Risk,High Value Customer
5456-ITGIC,4640.400000000001,High Value,Low Risk,High Value Customer
7860-KSUGX,4640.400000000001,High Value,Low Risk,High Value Customer
7109-CQYUZ,4641.0,High Value,Low Risk,High Value Customer
4139-DETXS,4640.400000000001,High Value,Low Risk,High Value Customer
7197-VOJMM,4636.400000000001,High Value,Low Risk,High Value Customer
7191-ADRGF,2389.2,Medium Value,Low Risk,Low Priority
7641-EUYET,4632.2,High Value,Low Risk,High Value Customer
1867-TJHTS,4628.4,High Value,Low Risk,High Value Customer
8327-LZKAS,4624.65,High Value,Low Risk,High Value Customer
4695-VADHF,1034.1,Medium Value,Low Risk,Low Priority
2176-OSJUV,4625.650000000001,High Value,Low Risk,High Value Customer
0420-TXVSG,4362.599999999999,High Value,Low Risk,High Value Customer
9769-TSBZE,4620.0,High Value,Low Risk,High Value Customer
8990-YOZLV,4616.1,High Value,Low Risk,High Value Customer
2661-GKBTK,4617.0,High Value,Low Risk,High Value Customer
4877-TSOFF,4166.25,High Value,Low Risk,High Value Customer
2296-DKZFP,4615.0,High Value,Low Risk,High Value Customer
5397-TUPSH,4611.75,High Value,Low Risk,High Value Customer
6199-IWKGC,4611.5,High Value,Low Risk,High Value Customer
1710-RCXUS,4607.849999999999,High Value,Low Risk,High Value Customer
9610-WCESF,2941.3,Medium Value,Low Risk,Low Priority
8190-ZTQFB,2105.35,Medium Value,Low Risk,Low Priority
3658-QQJYD,4606.599999999999,High Value,Low Risk,High Value Customer
9537-VHDTA,51.2,Low Value,Low Risk,Low Priority
7054-LGEQW,45.95,Low Value,Low Risk,Low Priority
9419-IPPBE,4597.650000000001,High Value,Low Risk,High Value Customer
5002-GCQFH,4598.65,High Value,Low Risk,High Value Customer
0481-SUMCB,4596.75,High Value,Low Risk,High Value Customer
9068-VPWQQ,4596.349999999999,High Value,Low Risk,High Value Customer
5204-HMGYF,4272.8,High Value,Low Risk,High Value Customer
8631-WUXGY,4590.8,High Value,Low Risk,High Value Customer
2403-BCASL,4589.95,High Value,Low Risk,High Value Customer
4967-WPNCF,4586.400000000001,High Value,Low Risk,High Value Customer
0572-ZJKLT,4583.900000000001,High Value,Low Risk,High Value Customer
9168-INPSZ,4582.6,High Value,Low Risk,High Value Customer
3563-SVYLG,4260.2,High Value,Low Risk,High Value Customer
3512-IZIKN,4571.0,High Value,Low Risk,High Value Customer
3957-HHLMR,4564.0,High Value,Low Risk,High Value Customer
9254-RBFON,1676.1999999999998,Medium Value,Low Risk,Low Priority
5056-FIMPT,4558.0,High Value,Low Risk,High Value Customer
6250-CGGUN,4557.6,High Value,Low Risk,High Value Customer
3050-RLLXC,4550.0,High Value,Low Risk,High Value Customer
6362-QHAFM,4548.599999999999,High Value,Low Risk,High Value Customer
9993-LHIEB,4545.95,High Value,Low Risk,High Value Customer
8597-CTXVJ,4546.5,High Value,Low Risk,High Value Customer
3259-KNMRR,4545.75,High Value,Low Risk,High Value Customer
2274-XUATA,4543.2,High Value,Low Risk,High Value Customer
9661-MHUMO,49.25,Low Value,Low Risk,Low Priority
7881-INRLC,4538.25,High Value,Low Risk,High Value Customer
8671-KKKOS,2095.3,Medium Value,Low Risk,Low Priority
0674-GCDXG,4529.700000000001,High Value,Low Risk,High Value Customer
4869-EPIUS,4530.400000000001,High Value,Low Risk,High Value Customer
0843-WTBXE,4528.85,High Value,Low Risk,High Value Customer
8097-OMULG,4528.25,High Value,Low Risk,High Value Customer
9565-FLVCG,4520.75,High Value,Low Risk,High Value Customer
2535-PBCGC,4518.5,High Value,Low Risk,High Value Customer
0853-NWIFK,4513.5,High Value,Low Risk,High Value Customer
5351-QESIO,24.2,Low Value,Low Risk,Low Priority
8295-KMENE,4510.55,High Value,Low Risk,High Value Customer
2828-SLQPF,855.0,Low Value,Low Risk,Low Priority
7838-LAZFO,3546.0,High Value,Low Risk,High Value Customer
9233-PSYHO,4506.75,High Value,Low Risk,High Value Customer
6893-ODYYE,4505.0,High Value,Low Risk,High Value Customer
4890-VMUAV,4504.5,High Value,Low Risk,High Value Customer
7501-IWUNG,4501.8,High Value,Low Risk,High Value Customer
6542-LWGXJ,75.0,Low Value,Low Risk,Low Priority
1525-LNLOJ,4177.8,High Value,Low Risk,High Value Customer
1206-EHBDD,4496.8,High Value,Low Risk,High Value Customer
6680-NENYN,4497.8,High Value,Low Risk,High Value Customer
7359-SSBJK,4492.8,High Value,Low Risk,High Value Customer
4667-QONEA,4491.0,High Value,Low Risk,High Value Customer
4713-ZBURT,4486.5,High Value,Low Risk,High Value Customer
9677-AVKED,4483.799999999999,High Value,Low Risk,High Value Customer
9154-QDGTH,4484.9,High Value,Low Risk,High Value Customer
6968-GMKPR,4485.25,High Value,Low Risk,High Value Customer
0604-THJFP,4481.05,High Value,Low Risk,High Value Customer
3946-JEWRQ,4474.400000000001,High Value,Low Risk,High Value Customer
4567-AKPIA,4473.099999999999,High Value,Low Risk,High Value Customer
6968-MHOMU,2610.0,Medium Value,Low Risk,Low Priority
1095-JUDTC,4467.349999999999,High Value,Low Risk,High Value Customer
1142-IHLOO,4465.05,High Value,Low Risk,High Value Customer
5130-YPIRV,4464.0,High Value,Low Risk,High Value Customer
6732-FZUGP,4460.3,High Value,Low Risk,High Value Customer
0689-DSXGL,4461.599999999999,High Value,Low Risk,High Value Customer
4450-MDZFX,4461.0,High Value,Low Risk,High Value Customer
7599-FKVXZ,4458.3,High Value,Low Risk,High Value Customer
2558-BUOZZ,4455.599999999999,High Value,Low Risk,High Value Customer
5973-EJGDP,4454.849999999999,High Value,Low Risk,High Value Customer
5020-ZSTTY,4452.3,High Value,Low Risk,High Value Customer
7481-ATQQS,4451.65,High Value,Low Risk,High Value Customer
4640-UHDOS,727.35,Low Value,Low Risk,Low Priority
7856-GANIL,4441.5,High Value,Low Risk,High Value Customer
1088-AUUZZ,4247.599999999999,High Value,Low Risk,High Value Customer
4143-HHPMK,4438.2,High Value,Low Risk,High Value Customer
9091-WTUUY,4432.0,High Value,Low Risk,High Value Customer
7142-HVGBG,4429.0,High Value,Low Risk,High Value Customer
4717-GHADL,3980.0,High Value,Low Risk,High Value Customer
5131-PONJI,4429.6,High Value,Low Risk,High Value Customer
8184-WMOFI,4426.8,High Value,Low Risk,High Value Customer
2252-NKNSI,4427.8,High Value,Low Risk,High Value Customer
8761-NSOBC,4424.2,High Value,Low Risk,High Value Customer
9661-ACXBS,4418.400000000001,High Value,Low Risk,High Value Customer
7789-HKSBS,4418.400000000001,High Value,Low Risk,High Value Customer
5176-OLSKT,4415.400000000001,High Value,Low Risk,High Value Customer
4554-YGZIH,4412.45,High Value,Low Risk,High Value Customer
8757-TFHHJ,49.8,Low Value,Low Risk,Low Priority
0336-KXKFK,4406.400000000001,High Value,Low Risk,High Value Customer
2578-JQPHZ,4404.4,High Value,Low Risk,High Value Customer
2931-SVLTV,4404.0,High Value,Low Risk,High Value Customer
4908-XAXAY,4402.65,High Value,Low Risk,High Value Customer
6583-QGCSI,4402.5,High Value,Low Risk,High Value Customer
9134-WYRVP,4403.849999999999,High Value,Low Risk,High Value Customer
4102-HLENU,4398.55,High Value,Low Risk,High Value Customer
8910-ICHIU,4399.900000000001,High Value,Low Risk,High Value Customer
4672-FOTSD,807.0,Low Value,Low Risk,Low Priority
5320-BRKGK,4396.4,High Value,Low Risk,High Value Customer
8805-JNRAZ,98.4,Low Value,Low Risk,Low Priority
6625-IUTTT,4391.849999999999,High Value,Low Risk,High Value Customer
7722-VJRQD,4388.400000000001,High Value,Low Risk,High Value Customer
4013-GUXND,20.8,Low Value,Low Risk,Low Priority
0654-PQKDW,4386.5,High Value,Low Risk,High Value Customer
0484-FFVBJ,2075.2,Medium Value,Low Risk,Low Priority
4187-CINZD,4381.5,High Value,Low Risk,High Value Customer
0361-HJRDX,4375.799999999999,High Value,Low Risk,High Value Customer
6418-HNFED,4245.75,High Value,Low Risk,High Value Customer
2834-SPCJV,4373.2,High Value,Low Risk,High Value Customer
2432-TFSMK,1612.8,Medium Value,Low Risk,Low Priority
2845-KDHVX,4371.2,High Value,Low Risk,High Value Customer
2573-GYRUU,4370.4,High Value,Low Risk,High Value Customer
6227-HWPWX,1035.0,Medium Value,Low Risk,Low Priority
7148-XZPHA,4367.0,High Value,Low Risk,High Value Customer
3898-GUYTS,4367.25,High Value,Low Risk,High Value Customer
2379-GYFLQ,4365.400000000001,High Value,Low Risk,High Value Customer
1530-ZTDOZ,1991.85,Medium Value,Low Risk,Low Priority
3930-ZGWVE,19.75,Low Value,Low Risk,Low Priority
7239-HZZCX,19.75,Low Value,Low Risk,Low Priority
9600-NAXZN,4360.2,High Value,Low Risk,High Value Customer
1084-MNSMJ,4360.5,High Value,Low Risk,High Value Customer
