customer_id,churn_probability,churn_risk,ltv,customer_segment,retention_priority_score,retention_priority
4360-PNRQB,0.32,Low Risk,1360.8,Low Priority,25.57,Medium
4484-GLZOU,0.0,Low Risk,5462.599999999999,High Value Customer,25.56,Medium
6952-OMNWB,0.0,Low Risk,5463.799999999999,High Value Customer,25.56,Medium
9541-ZPSEA,0.0,Low Risk,5463.799999999999,High Value Customer,25.56,Medium
4006-HKYHO,0.0,Low Risk,5462.1,High Value Customer,25.55,Medium
9220-ZNKJI,0.045,Low Risk,4884.0,High Value Customer,25.55,Medium
6769-DCQLI,0.0,Low Risk,5460.0,High Value Customer,25.54,Medium
3104-OWCGK,0.0,Low Risk,5457.0,High Value Customer,25.53,Medium
6848-YLDFR,0.085,Low Risk,4361.6,High Value Customer,25.51,Medium
1784-EZDKJ,0.0,Low Risk,5446.8,High Value Customer,25.48,Medium
9795-NREXC,0.0,Low Risk,5440.0,High Value Customer,25.45,Medium
2144-BFDSO,0.0,Low Risk,5437.5,High Value Customer,25.44,Medium
6568-POCUI,0.09,Low Risk,4284.0,High Value Customer,25.44,Medium
3005-NFMTA,0.0,Low Risk,5434.0,High Value Customer,25.42,Medium
7404-JLKQG,0.41,Medium Risk,172.64999999999998,Monitor,25.41,Medium
8421-WZOOW,0.0,Low Risk,5432.099999999999,High Value Customer,25.41,Medium
5732-IKGQH,0.0,Low Risk,5431.400000000001,High Value Customer,25.41,Medium
5827-MWCZK,0.0,Low Risk,5429.2,High Value Customer,25.4,Medium
1447-PJGGA,0.0,Low Risk,5429.25,High Value Customer,25.4,Medium
9101-BWFSS,0.0,Low Risk,5427.5,High Value Customer,25.39,Medium
4007-NHVHI,0.0,Low Risk,5423.599999999999,High Value Customer,25.37,Medium
0565-IYCGT,0.0,Low Risk,5423.4,High Value Customer,25.37,Medium
5385-SUIRI,0.0,Low Risk,5418.400000000001,High Value Customer,25.35,Medium
5708-EVONK,0.0,Low Risk,5417.200000000001,High Value Customer,25.34,Medium
8961-QDZZJ,0.0,Low Risk,5415.0,High Value Customer,25.33,Medium
9140-CZQZZ,0.0,Low Risk,5412.799999999999,High Value Customer,25.32,Medium
7550-WIQVA,0.0,Low Risk,5412.5,High Value Customer,25.32,Medium
6869-FGJJC,0.0,Low Risk,5412.799999999999,High Value Customer,25.32,Medium
8205-VSLRB,0.0,Low Risk,5411.0,High Value Customer,25.31,Medium
3654-ARMGP,0.0,Low Risk,5407.650000000001,High Value Customer,25.3,Medium
1676-MQAOA,0.0,Low Risk,5407.2,High Value Customer,25.3,Medium
5515-AKOAJ,0.0,Low Risk,5405.4,High Value Customer,25.29,Medium
0931-MHTEM,0.0,Low Risk,5402.7,High Value Customer,25.28,Medium
6556-DBKZF,0.0,Low Risk,5399.55,High Value Customer,25.26,Medium
9700-ISPUP,0.37,Low Risk,655.0,Low Priority,25.26,Medium
7803-XOCCZ,0.08,Low Risk,4370.599999999999,High Value Customer,25.25,Medium
2636-SJDOU,0.0,Low Risk,5395.2,High Value Customer,25.24,Medium
1215-FIGMP,0.0,Low Risk,5394.0,High Value Customer,25.24,Medium
6586-MYGKD,0.0,Low Risk,5386.5,High Value Customer,25.2,Medium
1930-WNXSB,0.0,Low Risk,5385.299999999999,High Value Customer,25.19,Medium
8619-IJNDK,0.065,Low Risk,4547.55,High Value Customer,25.18,Medium
8590-YFFQO,0.065,Low Risk,4546.5,High Value Customer,25.17,Medium
4468-YDOVK,0.4,Medium Risk,243.25,Monitor,25.14,Medium
0123-CRBRT,0.0,Low Risk,5374.099999999999,High Value Customer,25.14,Medium
3428-MMGUB,0.0,Low Risk,5373.0,High Value Customer,25.14,Medium
8099-MZPUJ,0.0,Low Risk,5366.4,High Value Customer,25.11,Medium
0924-BJCRC,0.0,Low Risk,5367.0,High Value Customer,25.11,Medium
9227-YBAXE,0.0,Low Risk,5362.5,High Value Customer,25.09,Medium
4062-HBMOS,0.0,Low Risk,5358.599999999999,High Value Customer,25.07,Medium
2267-WTPYD,0.0,Low Risk,5358.0,High Value Customer,25.07,Medium
0336-PIKEI,0.0,Low Risk,5356.8,High Value Customer,25.06,Medium
7629-WFGLW,0.0,Low Risk,5356.400000000001,High Value Customer,25.06,Medium
8468-FZTOE,0.0,Low Risk,5353.2,High Value Customer,25.04,Medium
7130-YXBRO,0.0,Low Risk,5349.6,High Value Customer,25.03,Medium
0961-ZWLVI,0.0,Low Risk,5350.8,High Value Customer,25.03,Medium
4737-HOBAX,0.025,Low Risk,5027.4,High Value Customer,25.02,Medium
2070-FNEXE,0.375,Low Risk,535.15,Low Priority,25.0,Medium
0716-BQNDX,0.0,Low Risk,5343.75,High Value Customer,25.0,Medium
8160-HOWOX,0.38,Low Risk,467.94999999999993,Low Priority,24.99,Low
8152-UOBNY,0.0,Low Risk,5340.0,High Value Customer,24.98,Low
4355-HBJHH,0.0,Low Risk,5339.900000000001,High Value Customer,24.98,Low
1032-MAELW,0.0,Low Risk,5334.6,High Value Customer,24.96,Low
9746-MDMBK,0.0,Low Risk,5332.150000000001,High Value Customer,24.95,Low
0014-BMAQU,0.0,Low Risk,5332.950000000001,High Value Customer,24.95,Low
9348-ROUAI,0.0,Low Risk,5327.7,High Value Customer,24.92,Low
6013-BHCAW,0.03,Low Risk,4941.0,High Value Customer,24.92,Low
6870-ZWMNX,0.0,Low Risk,5327.0,High Value Customer,24.92,Low
1264-BYWMS,0.0,Low Risk,5324.0,High Value Customer,24.91,Low
5447-WZAFP,0.0,Low Risk,5315.9,High Value Customer,24.87,Low
8166-ZZTFS,0.0,Low Risk,5316.3,High Value Customer,24.87,Low
5402-HTOTQ,0.345,Low Risk,884.8,Low Priority,24.84,Low
8444-WRIDW,0.0,Low Risk,5309.7,High Value Customer,24.84,Low
1004-NOZNR,0.0,Low Risk,5308.8,High Value Customer,24.84,Low
4001-TSBTV,0.0,Low Risk,5309.9,High Value Customer,24.84,Low
5213-TWWJU,0.215,Low Risk,2548.0,Low Priority,24.82,Low
8390-FESFV,0.005,Low Risk,5239.0,High Value Customer,24.81,Low
1228-FZFRV,0.0,Low Risk,5297.5,High Value Customer,24.78,Low
6917-YACBP,0.0,Low Risk,5295.25,High Value Customer,24.77,Low
2055-BFOCC,0.0,Low Risk,5292.0,High Value Customer,24.76,Low
6386-SZZKH,0.0,Low Risk,5289.55,High Value Customer,24.75,Low
5327-XOKKY,0.0,Low Risk,5288.400000000001,High Value Customer,24.74,Low
3143-ILDAL,0.0,Low Risk,5289.2,High Value Customer,24.74,Low
9481-WHGWY,0.0,Low Risk,5274.5,High Value Customer,24.68,Low
3166-PNEOF,0.0,Low Risk,5273.45,High Value Customer,24.67,Low
0320-DWVTU,0.0,Low Risk,5273.5,High Value Customer,24.67,Low
5321-NTRKC,0.0,Low Risk,5270.099999999999,High Value Customer,24.66,Low
1100-DDVRV,0.345,Low Risk,846.5999999999999,Low Priority,24.66,Low
6691-CCIHA,0.0,Low Risk,5266.900000000001,High Value Customer,24.64,Low
0661-KBKPA,0.085,Low Risk,4173.75,High Value Customer,24.63,Low
5811-IWXYM,0.0,Low Risk,5265.0,High Value Customer,24.63,Low
2954-PIBKO,0.065,Low Risk,4426.35,High Value Customer,24.61,Low
0459-SPZHJ,0.0,Low Risk,5260.5,High Value Customer,24.61,Low
6384-VMJHP,0.0,Low Risk,5256.0,High Value Customer,24.59,Low
7401-JIXNM,0.025,Low Risk,4930.2,High Value Customer,24.57,Low
7516-GMHUV,0.0,Low Risk,5252.5,High Value Customer,24.57,Low
6035-RIIOM,0.0,Low Risk,5248.8,High Value Customer,24.56,Low
2786-GCDPI,0.0,Low Risk,5247.5,High Value Customer,24.55,Low
8414-OOEEL,0.0,Low Risk,5247.0,High Value Customer,24.55,Low
8631-NBHFZ,0.0,Low Risk,5240.400000000001,High Value Customer,24.52,Low
2139-FQHLM,0.275,Low Risk,1709.05,Low Priority,24.5,Low
1658-XUHBX,0.0,Low Risk,5236.25,High Value Customer,24.5,Low
2957-JIRMN,0.0,Low Risk,5235.900000000001,High Value Customer,24.5,Low
6685-GBWJZ,0.06,Low Risk,4460.4,High Value Customer,24.47,Low
6194-HBGQN,0.085,Low Risk,4138.650000000001,High Value Customer,24.46,Low
6121-TNHBO,0.0,Low Risk,5229.0,High Value Customer,24.46,Low
0988-JRWWP,0.395,Low Risk,162.60000000000002,Low Priority,24.46,Low
2882-WDTBA,0.0,Low Risk,5226.75,High Value Customer,24.45,Low
9770-KXGQU,0.0,Low Risk,5225.799999999999,High Value Customer,24.45,Low
1169-SAOCL,0.0,Low Risk,5225.85,High Value Customer,24.45,Low
5855-EIBDE,0.0,Low Risk,5225.85,High Value Customer,24.45,Low
6402-EJMWF,0.39,Low Risk,221.2,Low Priority,24.43,Low
5802-ADBRC,0.0,Low Risk,5220.0,High Value Customer,24.42,Low
8932-CZHRQ,0.0,Low Risk,5219.0,High Value Customer,24.42,Low
5781-RFZRP,0.0,Low Risk,5218.5,High Value Customer,24.41,Low
1323-OOEPC,0.0,Low Risk,5215.200000000001,High Value Customer,24.4,Low
3470-OBUET,0.02,Low Risk,4958.0,High Value Customer,24.4,Low
8268-YDIXR,0.0,Low Risk,5216.400000000001,High Value Customer,24.4,Low
3253-HKOKL,0.0,Low Risk,5215.599999999999,High Value Customer,24.4,Low
2205-LPVGL,0.0,Low Risk,5211.299999999999,High Value Customer,24.38,Low
3807-BPOMJ,0.0,Low Risk,5211.25,High Value Customer,24.38,Low
4789-KWMXN,0.0,Low Risk,5209.95,High Value Customer,24.37,Low
5676-CFLYY,0.0,Low Risk,5207.849999999999,High Value Customer,24.36,Low
6421-SZVEM,0.225,Low Risk,2319.8,Low Priority,24.35,Low
9659-QEQSY,0.0,Low Risk,5204.25,High Value Customer,24.35,Low
1265-ZFOSD,0.0,Low Risk,5203.2,High Value Customer,24.34,Low
0083-PIVIK,0.0,Low Risk,5200.0,High Value Customer,24.33,Low
3200-MNQTF,0.035,Low Risk,4750.3,High Value Customer,24.32,Low
7271-AJDTL,0.0,Low Risk,5194.75,High Value Customer,24.3,Low
4737-AQCPU,0.0,Low Risk,5191.2,High Value Customer,24.29,Low
3804-RVTGV,0.0,Low Risk,5192.5,High Value Customer,24.29,Low
1842-EZJMK,0.0,Low Risk,5185.0,High Value Customer,24.26,Low
5294-IMHHT,0.0,Low Risk,5180.75,High Value Customer,24.24,Low
7711-YIJWC,0.0,Low Risk,5178.900000000001,High Value Customer,24.23,Low
6953-PBDIN,0.005,Low Risk,5106.5,High Value Customer,24.19,Low
4816-OKWNX,0.0,Low Risk,5170.0,High Value Customer,24.19,Low
4293-ETKAP,0.0,Low Risk,5161.0,High Value Customer,24.15,Low
7855-DIWPO,0.29,Low Risk,1441.65,Low Priority,24.14,Low
5414-OFQCB,0.0,Low Risk,5155.650000000001,High Value Customer,24.12,Low
6394-MFYNG,0.0,Low Risk,5155.200000000001,High Value Customer,24.12,Low
2931-XIQBR,0.0,Low Risk,5152.5,High Value Customer,24.11,Low
4322-RCYMT,0.0,Low Risk,5154.4,High Value Customer,24.11,Low
6599-RCLCJ,0.0,Low Risk,5148.849999999999,High Value Customer,24.09,Low
1346-UFHAX,0.32,Low Risk,1040.0,Low Priority,24.07,Low
9048-JVYVF,0.385,Low Risk,208.05,Low Priority,24.07,Low
8348-JLBUG,0.0,Low Risk,5139.2,High Value Customer,24.04,Low
0621-HJWXJ,0.0,Low Risk,5137.65,High Value Customer,24.04,Low
6838-YAUVY,0.0,Low Risk,5135.4,High Value Customer,24.03,Low
3913-FCUUW,0.005,Low Risk,5072.400000000001,High Value Customer,24.03,Low
9013-AQORL,0.23,Low Risk,2186.4,Low Priority,24.03,Low
5195-KPUNQ,0.0,Low Risk,5127.75,High Value Customer,23.99,Low
1498-NHTLT,0.0,Low Risk,5118.25,High Value Customer,23.95,Low
1732-FEKLD,0.0,Low Risk,5116.5,High Value Customer,23.94,Low
1471-GIQKQ,0.395,Low Risk,49.95,Low Priority,23.93,Low
0013-MHZWF,0.35,Low Risk,624.6,Low Priority,23.92,Low
7524-VRLPL,0.0,Low Risk,5112.9,High Value Customer,23.92,Low
2758-RNWXS,0.155,Low Risk,3122.0,High Value Customer,23.91,Low
7164-BPTUT,0.0,Low Risk,5104.349999999999,High Value Customer,23.88,Low
4472-VESGY,0.0,Low Risk,5103.8,High Value Customer,23.88,Low
1950-KSVVJ,0.0,Low Risk,5098.5,High Value Customer,23.85,Low
7654-YWJUF,0.115,Low Risk,3622.75,High Value Customer,23.85,Low
6901-GOGZG,0.0,Low Risk,5097.0,High Value Customer,23.85,Low
4676-MQUEA,0.0,Low Risk,5095.0,High Value Customer,23.84,Low
1899-VXWXM,0.0,Low Risk,5092.799999999999,High Value Customer,23.83,Low
9822-BIIGN,0.1,Low Risk,3808.05,High Value Customer,23.82,Low
0973-KYVNF,0.0,Low Risk,5086.8,High Value Customer,23.8,Low
9391-LMANN,0.0,Low Risk,5085.35,High Value Customer,23.79,Low
7103-ZGVNT,0.0,Low Risk,5085.3,High Value Customer,23.79,Low
2858-EIMXH,0.0,Low Risk,5080.049999999999,High Value Customer,23.77,Low
0956-ACVZC,0.0,Low Risk,5081.4,High Value Customer,23.77,Low
0280-XJGEX,0.0,Low Risk,5081.3,High Value Customer,23.77,Low
5803-NQJZO,0.015,Low Risk,4881.599999999999,High Value Customer,23.74,Low
9943-VSZUV,0.0,Low Risk,5071.900000000001,High Value Customer,23.73,Low
1020-JPQOW,0.0,Low Risk,5070.8,High Value Customer,23.72,Low
7576-JMYWV,0.0,Low Risk,5069.2,High Value Customer,23.72,Low
8311-UEUAB,0.0,Low Risk,5058.5,High Value Customer,23.67,Low
0691-IFBQW,0.0,Low Risk,5060.0,High Value Customer,23.67,Low
2796-UUZZO,0.0,Low Risk,5058.9,High Value Customer,23.67,Low
6741-QRLUP,0.0,Low Risk,5058.9,High Value Customer,23.67,Low
0909-SELIE,0.01,Low Risk,4928.8,High Value Customer,23.66,Low
6891-JPYFF,0.0,Low Risk,5052.0,High Value Customer,23.64,Low
1599-MMYRQ,0.0,Low Risk,5049.900000000001,High Value Customer,23.63,Low
6253-GNHWH,0.0,Low Risk,5048.099999999999,High Value Customer,23.62,Low
6480-YAGIY,0.0,Low Risk,5049.0,High Value Customer,23.62,Low
5649-RXQTV,0.0,Low Risk,5049.0,High Value Customer,23.62,Low
8133-ANHHJ,0.0,Low Risk,5047.0,High Value Customer,23.61,Low
5103-MHMHY,0.39,Low Risk,45.95,Low Priority,23.61,Low
5118-MUEYH,0.0,Low Risk,5044.799999999999,High Value Customer,23.6,Low
4566-GOLUK,0.0,Low Risk,5045.45,High Value Customer,23.6,Low
2911-WDXMV,0.28,Low Risk,1449.9,Low Priority,23.58,Low
9470-YFUYI,0.0,Low Risk,5041.0,High Value Customer,23.58,Low
1088-CNNKB,0.0,Low Risk,5040.0,High Value Customer,23.58,Low
3055-VTCGS,0.105,Low Risk,3688.65,High Value Customer,23.56,Low
9389-ACWBI,0.365,Low Risk,349.75,Low Priority,23.54,Low
9251-WNSOD,0.0,Low Risk,5031.7,High Value Customer,23.54,Low
5671-UUNXD,0.0,Low Risk,5032.5,High Value Customer,23.54,Low
5846-NEQVZ,0.0,Low Risk,5030.349999999999,High Value Customer,23.53,Low
0270-THENM,0.0,Low Risk,5029.2,High Value Customer,23.53,Low
4671-VJLCL,0.0,Low Risk,5030.549999999999,High Value Customer,23.53,Low
8992-CEUEN,0.3904999999999999,Low Risk,18.85,Low Priority,23.52,Low
0691-JVSYA,0.0,Low Risk,5027.049999999999,High Value Customer,23.52,Low
1935-IMVBB,0.0,Low Risk,5023.2,High Value Customer,23.5,Low
6418-PIQSP,0.0,Low Risk,5022.0,High Value Customer,23.49,Low
2325-ZUSFD,0.08,Low Risk,3995.7,High Value Customer,23.49,Low
9199-PWQVC,0.0,Low Risk,5021.1,High Value Customer,23.49,Low
3795-GWTRD,0.02,Low Risk,4759.65,High Value Customer,23.47,Low
8552-OBVRU,0.0,Low Risk,5016.0,High Value Customer,23.47,Low
0229-LFJAF,0.0,Low Risk,5014.8,High Value Customer,23.46,Low
4366-CTOUZ,0.0,Low Risk,5010.0,High Value Customer,23.44,Low
0345-XMMUG,0.0,Low Risk,5009.400000000001,High Value Customer,23.44,Low
4238-HFHSN,0.0,Low Risk,5011.150000000001,High Value Customer,23.44,Low
1527-SXDPN,0.0,Low Risk,5005.0,High Value Customer,23.42,Low
5934-TSSAU,0.255,Low Risk,1731.9,Low Priority,23.4,Low
5630-IXDXV,0.0,Low Risk,4998.45,High Value Customer,23.38,Low
3927-NLNRY,0.0,Low Risk,4995.25,High Value Customer,23.37,Low
2178-PMGCJ,0.27,Low Risk,1533.4,Low Priority,23.37,Low
7470-MCQTK,0.34,Low Risk,633.75,Low Priority,23.36,Low
9909-DFRJA,0.195,Low Risk,2492.1,Low Priority,23.36,Low
3259-QMXUN,0.0,Low Risk,4993.799999999999,High Value Customer,23.36,Low
5498-IBWPI,0.135,Low Risk,3260.4,High Value Customer,23.35,Low
8276-MQBYC,0.0,Low Risk,4987.8,High Value Customer,23.33,Low
2038-LLMLM,0.0,Low Risk,4984.799999999999,High Value Customer,23.32,Low
2363-BJLSL,0.0,Low Risk,4984.8,High Value Customer,23.32,Low
4355-CVPVS,0.0,Low Risk,4978.400000000001,High Value Customer,23.29,Low
5628-RKIFK,0.0,Low Risk,4975.95,High Value Customer,23.28,Low
4307-KTUMW,0.0,Low Risk,4976.700000000001,High Value Customer,23.28,Low
4918-FYJNT,0.0,Low Risk,4974.75,High Value Customer,23.27,Low
7449-HVPIV,0.0,Low Risk,4972.0,High Value Customer,23.26,Low
7103-IPXPJ,0.0,Low Risk,4970.0,High Value Customer,23.25,Low
5893-PYOLZ,0.03,Low Risk,4580.8,High Value Customer,23.23,Low
2256-YLYLP,0.0,Low Risk,4960.6,High Value Customer,23.21,Low
9691-HKOVS,0.0,Low Risk,4958.25,High Value Customer,23.2,Low
3569-VLDHH,0.0,Low Risk,4956.599999999999,High Value Customer,23.19,Low
6120-RJKLU,0.0,Low Risk,4956.900000000001,High Value Customer,23.19,Low
4800-CZMPC,0.0,Low Risk,4956.0,High Value Customer,23.19,Low
0887-WBJVH,0.0,Low Risk,4952.85,High Value Customer,23.17,Low
4685-ERGHK,0.0,Low Risk,4953.3,High Value Customer,23.17,Low
8039-ACLPL,0.0,Low Risk,4950.0,High Value Customer,23.16,Low
8993-PHFWD,0.38,Low Risk,75.75,Low Priority,23.15,Low
1557-EMYVT,0.0,Low Risk,4947.15,High Value Customer,23.14,Low
9548-LIGTA,0.0,Low Risk,4944.05,High Value Customer,23.13,Low
2040-VZIKE,0.0,Low Risk,4941.65,High Value Customer,23.12,Low
7446-KQISO,0.0,Low Risk,4938.75,High Value Customer,23.11,Low
6754-LZUKA,0.0,Low Risk,4934.900000000001,High Value Customer,23.09,Low
1541-ETJZO,0.38,Low Risk,62.05,Low Priority,23.09,Low
4785-QRJHC,0.17,Low Risk,2755.4,Low Priority,23.09,Low
5278-PNYOX,0.0,Low Risk,4931.85,High Value Customer,23.07,Low
3190-XFANI,0.0,Low Risk,4929.4,High Value Customer,23.06,Low
7169-YWAMK,0.0,Low Risk,4924.8,High Value Customer,23.04,Low
0771-CHWSK,0.0,Low Risk,4923.599999999999,High Value Customer,23.03,Low
9432-RUVSL,0.0,Low Risk,4920.0,High Value Customer,23.02,Low
5609-IMCGG,0.285,Low Risk,1265.25,Low Priority,23.02,Low
4070-OKWVH,0.0,Low Risk,4919.2,High Value Customer,23.01,Low
1810-BOHSY,0.0,Low Risk,4916.400000000001,High Value Customer,23.0,Low
8760-ZRHKE,0.0,Low Risk,4913.2,High Value Customer,22.99,Low
7346-MEDWM,0.0,Low Risk,4911.75,High Value Customer,22.98,Low
6087-YPWHO,0.0,Low Risk,4906.8,High Value Customer,22.96,Low
3162-ZJZFU,0.0,Low Risk,4905.15,High Value Customer,22.95,Low
1096-ADRUX,0.0,Low Risk,4900.5,High Value Customer,22.93,Low
5161-XEUVX,0.11,Low Risk,3489.1,High Value Customer,22.92,Low
9227-LUNBG,0.38,Low Risk,24.6,Low Priority,22.92,Low
5136-RGMZO,0.21,Low Risk,2202.55,Low Priority,22.9,Low
8406-LNMHF,0.0,Low Risk,4894.05,High Value Customer,22.9,Low
3384-CTMSF,0.0,Low Risk,4892.7,High Value Customer,22.89,Low
5641-DMBFJ,0.0,Low Risk,4889.4,High Value Customer,22.87,Low
0258-NOKBL,0.36,Low Risk,271.20000000000005,Low Priority,22.87,Low
4560-WQAQW,0.065,Low Risk,4053.3,High Value Customer,22.86,Low
4892-VLANZ,0.3792999999999999,Low Risk,19.8,Low Priority,22.85,Low
1023-BQXZE,0.05,Low Risk,4237.95,High Value Customer,22.83,Low
3244-DCJWY,0.375,Low Risk,70.25,Low Priority,22.83,Low
1216-BGTSP,0.0,Low Risk,4880.25,High Value Customer,22.83,Low
9732-EQMWY,0.0,Low Risk,4870.6,High Value Customer,22.79,Low
2612-PHGOX,0.0,Low Risk,4870.4,High Value Customer,22.79,Low
2284-VFLKH,0.0,Low Risk,4863.25,High Value Customer,22.75,Low
5458-CQJTA,0.0,Low Risk,4862.0,High Value Customer,22.75,Low
5536-RTPWK,0.0,Low Risk,4853.45,High Value Customer,22.71,Low
4531-AUZNK,0.0,Low Risk,4852.650000000001,High Value Customer,22.7,Low
1485-YDHMM,0.0,Low Risk,4849.0,High Value Customer,22.69,Low
7975-TZMLR,0.0,Low Risk,4845.7,High Value Customer,22.67,Low
9500-IWPXQ,0.0,Low Risk,4843.400000000001,High Value Customer,22.66,Low
9489-DEDVP,0.0,Low Risk,4844.0,High Value Customer,22.66,Low
0880-FVFWF,0.0,Low Risk,4838.400000000001,High Value Customer,22.64,Low
5115-GZDEL,0.0,Low Risk,4838.400000000001,High Value Customer,22.64,Low
8495-PRWFH,0.195,Low Risk,2337.3,Low Priority,22.63,Low
6988-CJEYV,0.0,Low Risk,4836.3,High Value Customer,22.63,Low
8945-MUQUF,0.0,Low Risk,4834.8,High Value Customer,22.62,Low
5394-MEITZ,0.0,Low Risk,4836.0,High Value Customer,22.62,Low
2054-PJOCK,0.0,Low Risk,4833.0,High Value Customer,22.61,Low
7402-PWYJJ,0.0,Low Risk,4830.950000000001,High Value Customer,22.6,Low
6689-VRRTK,0.0,Low Risk,4831.2,High Value Customer,22.6,Low
3325-FUYCG,0.145,Low Risk,2970.8,Low Priority,22.6,Low
5364-XYIRR,0.0,Low Risk,4827.150000000001,High Value Customer,22.58,Low
4915-BFSXL,0.0,Low Risk,4826.5,High Value Customer,22.58,Low
1965-DDBWU,0.265,Low Risk,1424.8,Low Priority,22.57,Low
3533-UVMOM,0.0,Low Risk,4824.6,High Value Customer,22.57,Low
2077-DDHJK,0.0,Low Risk,4821.200000000001,High Value Customer,22.56,Low
2753-JMMCV,0.0,Low Risk,4823.0,High Value Customer,22.56,Low
3545-CNWRG,0.0,Low Risk,4819.15,High Value Customer,22.55,Low
9297-FVVDH,0.0,Low Risk,4816.5,High Value Customer,22.53,Low
1266-NZYUI,0.0,Low Risk,4813.2,High Value Customer,22.52,Low
9378-FXTIZ,0.08,Low Risk,3788.1,High Value Customer,22.52,Low
3500-NSDOA,0.0,Low Risk,4814.4,High Value Customer,22.52,Low
8189-HBVRW,0.0,Low Risk,4812.4,High Value Customer,22.51,Low
0365-GXEZS,0.265,Low Risk,1407.6,Low Priority,22.49,Low
9711-FJTBX,0.0,Low Risk,4807.599999999999,High Value Customer,22.49,Low
7399-QHBJS,0.0,Low Risk,4806.0,High Value Customer,22.48,Low
2669-OIDSD,0.0,Low Risk,4802.4,High Value Customer,22.47,Low
6603-QWSPR,0.0,Low Risk,4802.400000000001,High Value Customer,22.47,Low
7622-FWGEW,0.0,Low Risk,4796.400000000001,High Value Customer,22.44,Low
0769-MURVM,0.005,Low Risk,4730.400000000001,High Value Customer,22.43,Low
7921-LMDFQ,0.0,Low Risk,4794.0,High Value Customer,22.43,Low
5018-GWURO,0.0,Low Risk,4793.599999999999,High Value Customer,22.43,Low
3115-JPJDD,0.0,Low Risk,4793.75,High Value Customer,22.43,Low
9565-JSNFM,0.165,Low Risk,2677.1,Low Priority,22.42,Low
1122-YJBCS,0.085,Low Risk,3701.85,High Value Customer,22.42,Low
7480-QNVZJ,0.0,Low Risk,4785.0,High Value Customer,22.39,Low
6212-ATMLK,0.0,Low Risk,4785.0,High Value Customer,22.39,Low
1545-ACTAS,0.0,Low Risk,4785.6,High Value Customer,22.39,Low
4057-FKCZK,0.0,Low Risk,4785.0,High Value Customer,22.39,Low
0301-FIDRB,0.015,Low Risk,4593.599999999999,High Value Customer,22.39,Low
3062-ICYZQ,0.0,Low Risk,4783.8,High Value Customer,22.38,Low
8749-JMNKX,0.0,Low Risk,4783.8,High Value Customer,22.38,Low
1136-XGEQU,0.045,Low Risk,4207.5,High Value Customer,22.38,Low
9968-FFVVH,0.035,Low Risk,4334.4,High Value Customer,22.38,Low
2720-FVBQP,0.35,Low Risk,293.70000000000005,Low Priority,22.37,Low
8659-HDIYE,0.0,Low Risk,4777.6,High Value Customer,22.35,Low
1816-FLZDK,0.37,Low Risk,29.15,Low Priority,22.34,Low
1591-MQJTP,0.0,Low Risk,4776.150000000001,High Value Customer,22.34,Low
3902-MIVLE,0.0,Low Risk,4769.1,High Value Customer,22.31,Low
5099-BAILX,0.0,Low Risk,4762.25,High Value Customer,22.28,Low
1455-HFBXA,0.0,Low Risk,4763.2,High Value Customer,22.28,Low
5148-ORICT,0.0,Low Risk,4758.4,High Value Customer,22.26,Low
5208-FVQKB,0.0,Low Risk,4756.5,High Value Customer,22.25,Low
2782-LFZVW,0.32,Low Risk,648.45,Low Priority,22.23,Low
0233-FTHAV,0.0,Low Risk,4752.0,High Value Customer,22.23,Low
7064-FRRSW,0.0,Low Risk,4752.0,High Value Customer,22.23,Low
4079-VTGLK,0.195,Low Risk,2245.5,Low Priority,22.21,Low
9803-FTJCG,0.0,Low Risk,4746.349999999999,High Value Customer,22.21,Low
7047-FWEYA,0.0,Low Risk,4744.900000000001,High Value Customer,22.2,Low
0750-EBAIU,0.0,Low Risk,4745.0,High Value Customer,22.2,Low
1866-DIOQZ,0.0,Low Risk,4742.8,High Value Customer,22.19,Low
9079-LWTFD,0.0,Low Risk,4735.25,High Value Customer,22.15,Low
3896-RCYYE,0.09,Low Risk,3577.8,High Value Customer,22.14,Low
9408-HRXRK,0.0,Low Risk,4731.75,High Value Customer,22.14,Low
2480-SQIOB,0.355,Low Risk,179.2,Low Priority,22.14,Low
5360-XGYAZ,0.0,Low Risk,4726.8,High Value Customer,22.11,Low
2672-OJQZP,0.365,Low Risk,44.75,Low Priority,22.11,Low
8908-NMQTX,0.0,Low Risk,4723.2,High Value Customer,22.1,Low
0434-CSFON,0.0,Low Risk,4723.5,High Value Customer,22.1,Low
2267-FPIMA,0.0,Low Risk,4720.0,High Value Customer,22.08,Low
4079-WWQQQ,0.0,Low Risk,4719.599999999999,High Value Customer,22.08,Low
6115-ZTBFQ,0.0,Low Risk,4716.0,High Value Customer,22.06,Low
5655-JSMZM,0.0,Low Risk,4713.8,High Value Customer,22.05,Low
3780-DDGSE,0.16,Low Risk,2661.75,Low Priority,22.05,Low
9360-AHGNL,0.0,Low Risk,4710.65,High Value Customer,22.04,Low
2890-WFBHU,0.0,Low Risk,4711.15,High Value Customer,22.04,Low
0687-ZVTHB,0.0,Low Risk,4709.25,High Value Customer,22.03,Low
7609-YBPXG,0.0,Low Risk,4703.4,High Value Customer,22.0,Low
8634-MPHTR,0.0,Low Risk,4702.349999999999,High Value Customer,22.0,Low
0533-BNWKF,0.0,Low Risk,4699.75,High Value Customer,21.99,Low
3850-OKINF,0.0,Low Risk,4700.2,High Value Customer,21.99,Low
